"","x"
"2661","MIS18BP1"
"2662","MIXL1"
"2663","MLC1"
"2664","MLEC"
"2665","MLH3"
"2666","MLLT6"
"2667","MLST8"
"2668","MLXIP"
"2669","MMP14"
"2670","MMP16"
"2671","MMP2"
"2672","MMP26"
"2673","MMP7"
"2674","MNDA"
"2675","MORN4"
"2676","MPDZ"
"2677","MPL"
"2678","MPP2"
"2679","MPP3"
"2680","MPP4"
"2681","MPP5"
"2682","MPP6"
"2683","MPP7"
"2684","MRC2"
"2685","MROH6"
"2686","MRPL51"
"2687","MRPL57"
"2688","MRPS15"
"2689","MRPS24"
"2690","MS4A4A"
"2691","MS4A7"
"2692","MSR1"
"2693","MT1E"
"2694","MTCH2"
"2695","MTMR3"
"2696","MTRNR2L3"
"2697","MXD1"
"2698","MYBPC3"
"2699","MYEF2"
"2700","MYEOV"
"2701","MYH14"
"2702","MYL3"
"2703","MYL6B"
"2704","MYLIP"
"2705","MYLK"
"2706","MYO18A"
"2707","MYO3B"
"2708","MYO7B"
"2709","MYO9B"
"2710","MYT1"
"2711","MZT2A"
"2712","N4BP2"
"2713","NAB1"
"2714","NACA"
"2715","NACC2"
"2716","NADK"
"2717","NANS"
"2718","NARF"
"2719","NAV1"
"2720","NAV2"
"2721","NBAT1"
"2722","NBEA"
"2723","NBN"
"2724","NCAPD2"
"2725","NCAPH"
"2726","NCF4"
"2727","NCK2"
"2728","NCKAP5"
"2729","NCOA4"
"2730","NCR1"
"2731","NDC80"
"2732","NDRG1"
"2733","NDST1"
"2734","NDST3"
"2735","NDUFB4"
"2736","NDUFS5"
"2737","NEBL"
"2738","NEFL"
"2739","NEK3"
"2740","NEK6"
"2741","NEUROD1"
"2742","NF1"
"2743","NFAM1"
"2744","NFAT5"
"2745","NFIC"
"2746","NFIL3"
"2747","NHLRC4"
"2748","NHP2"
"2749","NID1"
"2750","NIPAL3"
"2751","NKAIN1"
"2752","NKIRAS2"
"2753","NLRP12"
"2754","NLRP14"
"2755","NME2"
"2756","NME4"
"2757","NME5"
"2758","NME7"
"2759","NMNAT1"
"2760","NOL3"
"2761","NOTCH1"
"2762","NOVA1"
"2763","NOX1"
"2764","NPR2"
"2765","NR1H3"
"2766","NR4A1"
"2767","NRCAM"
"2768","NRP1"
"2769","NRTN"
"2770","NSA2"
"2771","NSMCE2"
"2772","NT5C"
"2773","NT5C3A"
"2774","NT5DC3"
"2775","NT5E"
"2776","NUCB1"
"2777","NUCB2"
"2778","NUDT2"
"2779","NUDT3"
"2780","NUMB"
"2781","NUP88"
"2782","NUP98"
"2783","NXNL2"
"2784","OAF"
"2785","OAZ1"
"2786","OGN"
"2787","OIP5-AS1"
"2788","OLA1"
"2789","OR13G1"
"2790","OR1C1"
"2791","OR2AJ1"
"2792","OR2M2"
"2793","OR7A17"
"2794","OR7C1"
"2795","ORC1"
"2796","OVGP1"
"2797","OXT"
"2798","OXTR"
"2799","P2RY1"
"2800","P2RY13"
"2801","P4HB"
"2802","PA2G4"
"2803","PABPC4"
"2804","PACSIN3"
"2805","PAK1"
"2806","PANX2"
"2807","PAPSS2"
"2808","PAQR3"
"2809","PARP1"
"2810","PARP4"
"2811","PARP8"
"2812","PAWR"
"2813","PBX3"
"2814","PBX4"
"2815","PCDHGA1"
"2816","PCDHGA12"
"2817","PCGF5"
"2818","PCOLCE2"
"2819","PCSK4"
"2820","PDCD10"
"2821","PDCD4"
"2822","PDE11A"
"2823","PDE2A"
"2824","PDE7A"
"2825","PDE8B"
"2826","PDE9A"
"2827","PDGFD"
"2828","PDIA3"
"2829","PDIA5"
"2830","PDK1"
"2831","PDLIM4"
"2832","PDXK"
"2833","PDZD9"
"2834","PDZK1IP1"
"2835","PDZRN4"
"2836","PEX10"
"2837","PFKFB4"
"2838","PGBD2"
"2839","PGM2L1"
"2840","PHACTR4"
"2841","PHF14"
"2842","PHF3"
"2843","PHIP"
"2844","PHPT1"
"2845","PIEZO1"
"2846","PIGQ"
"2847","PIH1D1"
"2848","PILRA"
"2849","PIRT"
"2850","PITPNM3"
"2851","PIWIL3"
"2852","PKHD1"
"2853","PKHD1L1"
"2854","PKP2"
"2855","PLA2R1"
"2856","PLAGL1"
"2857","PLAT"
"2858","PLCD3"
"2859","PLCXD1"
"2860","PLCXD2"
"2861","PLD5"
"2862","PLD6"
"2863","PLEKHB1"
"2864","PLEKHF2"
"2865","PLEKHH1"
"2866","PLEKHO1"
"2867","PLK1"
"2868","PLPP1"
"2869","PLPP3"
"2870","PLSCR1"
"2871","PLXNB2"
"2872","PM20D2"
"2873","PMAIP1"
"2874","PMF1"
"2875","PML"
"2876","POLDIP2"
"2877","POLE2"
"2878","POLR2G"
"2879","POLR3G"
"2880","PPA1"
"2881","PPFIBP1"
"2882","PPIF"
"2883","PPM1E"
"2884","PPM1N"
"2885","PPP1CC"
"2886","PPP1R37"
"2887","PPP2CA"
"2888","PPT1"
"2889","PRDM11"
"2890","PRDX1"
"2891","PRDX2"
"2892","PREX1"
"2893","PRH2"
"2894","PRICKLE3"
"2895","PRKAA2"
"2896","PRKAB2"
"2897","PRKACB"
"2898","PRKCD"
"2899","PRKCQ"
"2900","PROS1"
"2901","PRPF19"
"2902","PRPH2"
"2903","PRR34"
"2904","PRRG4"
"2905","PRRT3"
"2906","PRSS12"
"2907","PRSS2"
"2908","PRSS21"
"2909","PRSS23"
"2910","PRTN3"
"2911","PSIP1"
"2912","PSMA1"
"2913","PSMD1"
"2914","PSMD12"
"2915","PSMG1"
"2916","PTCH1"
"2917","PTEN"
"2918","PTGDR"
"2919","PTK2"
"2920","PTK2B"
"2921","PTPN1"
"2922","PTPN22"
"2923","PTPRA"
"2924","PTPRCAP"
"2925","PTPRG"
"2926","PTPRS"
"2927","PXK"
"2928","PYCARD"
"2929","PYGL"
"2930","RAB11FIP1"
"2931","RAB11FIP5"
"2932","RAB13"
"2933","RAB33A"
"2934","RAB34"
"2935","RAB3GAP1"
"2936","RAB44"
"2937","RABEP2"
"2938","RACK1"
"2939","RAG2"
"2940","RANBP2"
"2941","RAP1GAP"
"2942","RASA2"
"2943","RASEF"
"2944","RASGRP4"
"2945","RASSF5"
"2946","RASSF6"
"2947","RBBP8"
"2948","RBL1"
"2949","RBM22"
"2950","RBPJ"
"2951","RBPMS2"
"2952","RCC1"
"2953","RCL1"
"2954","RCN1"
"2955","RCOR1"
"2956","RCSD1"
"2957","RDM1"
"2958","REC8"
"2959","RELL1"
"2960","RELN"
"2961","REN"
"2962","RERE"
"2963","RFESD"
"2964","RFPL2"
"2965","RGCC"
"2966","RGS1"
"2967","RGS12"
"2968","RGS16"
"2969","RGS2"
"2970","RHD"
"2971","RHEB"
"2972","RHOA"
"2973","RHOD"
"2974","RHPN1"
"2975","RIC3"
"2976","RILPL2"
"2977","RIMKLB"
"2978","RLBP1"
"2979","RNF10"
"2980","RNF144A"
"2981","RNF152"
"2982","RNF168"
"2983","RNF17"
"2984","RNF180"
"2985","RNF19A"
"2986","RNF207"
"2987","RNF38"
"2988","ROPN1B"
"2989","RPARP-AS1"
"2990","RPH3AL"
"2991","RPL10A"
"2992","RPL13A"
"2993","RPL15"
"2994","RPL23"
"2995","RPL24"
"2996","RPL29"
"2997","RPL3"
"2998","RPL36A"
"2999","RPL37A"
"3000","RPL4"
"3001","RPS10"
"3002","RPS14"
"3003","RPS15"
"3004","RPS17"
"3005","RPS18"
"3006","RPS2"
"3007","RPS20"
"3008","RPS27"
"3009","RPS4X"
"3010","RPS6KA6"
"3011","RRAGD"
"3012","RRAS2"
"3013","RRS1-AS1"
"3014","RSL1D1"
"3015","RSPH10B"
"3016","RSPH9"
"3017","RTN1"
"3018","RTN4RL1"
"3019","RUSC2"
"3020","S100A16"
"3021","SALL4"
"3022","SAMD13"
"3023","SAMD4A"
"3024","SAMSN1"
"3025","SARS2"
"3026","SATB1-AS1"
"3027","SCAI"
"3028","SCAMP3"
"3029","SCAMP4"
"3030","SCD"
"3031","SCHIP1"
"3032","SCIMP"
"3033","SCLT1"
"3034","SCN2A"
"3035","SCN7A"
"3036","SCN9A"
"3037","SCRG1"
"3038","SCRN1"
"3039","SDCCAG8"
"3040","SEC62"
"3041","SECTM1"
"3042","SELENBP1"
"3043","SEMA4D"
"3044","SEMA6D"
"3045","SENP7"
"3046","SERHL2"
"3047","SERINC3"
"3048","SERPINF2"
"3049","SERPINI2"
"3050","SESTD1"
"3051","SF1"
"3052","SF3A3"
"3053","SFXN4"
"3054","SGMS1"
"3055","SGO1"
"3056","SGPP2"
"3057","SGTB"
"3058","SH2B2"
"3059","SH2D4B"
"3060","SH3BP4"
"3061","SH3PXD2B"
"3062","SH3TC1"
"3063","SH3TC2"
"3064","SHANK1"
"3065","SHANK3"
"3066","SHC2"
"3067","SHCBP1"
"3068","SHKBP1"
"3069","SHOC2"
"3070","SIGLEC15"
"3071","SIGLEC9"
"3072","SIRPG"
"3073","SIX5"
"3074","SKP1"
"3075","SKP2"
"3076","SLA2"
"3077","SLAMF6"
"3078","SLC10A4"
"3079","SLC10A5"
"3080","SLC10A6"
"3081","SLC11A2"
"3082","SLC12A5"
"3083","SLC12A6"
"3084","SLC16A10"
"3085","SLC16A5"
"3086","SLC16A8"
"3087","SLC16A9"
"3088","SLC18A2"
"3089","SLC1A3"
"3090","SLC1A5"
"3091","SLC22A10"
"3092","SLC22A13"
"3093","SLC22A14"
"3094","SLC22A4"
"3095","SLC24A5"
"3096","SLC25A21"
"3097","SLC25A3"
"3098","SLC25A30-AS1"
"3099","SLC26A1"
"3100","SLC27A2"
"3101","SLC28A2"
"3102","SLC29A4"
"3103","SLC2A1-AS1"
"3104","SLC2A12"
"3105","SLC2A5"
"3106","SLC2A6"
"3107","SLC31A2"
"3108","SLC35F2"
"3109","SLC35F3"
"3110","SLC35G2"
"3111","SLC38A2"
"3112","SLC39A6"
"3113","SLC39A8"
"3114","SLC43A1"
"3115","SLC44A1"
"3116","SLC44A2"
"3117","SLC45A1"
"3118","SLC45A3"
"3119","SLC4A10"
"3120","SLC4A4"
"3121","SLC5A9"
"3122","SLC6A11"
"3123","SLC6A2"
"3124","SLC6A20"
"3125","SLC7A11"
"3126","SLC7A2"
"3127","SLC7A5"
"3128","SLC7A6"
"3129","SLC9A7"
"3130","SLC9C1"
"3131","SLCO5A1"
"3132","SLFN13"
"3133","SLK"
"3134","SMAD6"
"3135","SMAD7"
"3136","SMARCA1"
"3137","SMARCC1"
"3138","SMG7"
"3139","SMIM17"
"3140","SMIM6"
"3141","SMO"
"3142","SMPDL3A"
"3143","SNAI1"
"3144","SNAPIN"
"3145","SNHG11"
"3146","SNHG4"
"3147","SNRPD1"
"3148","SNX2"
"3149","SOCS3"
"3150","SOGA1"
"3151","SOHLH2"
"3152","SORCS3"
"3153","SORL1"
"3154","SOS1"
"3155","SOWAHD"
"3156","SOX10"
"3157","SP100"
"3158","SP140L"
"3159","SPACA9"
"3160","SPARCL1"
"3161","SPATA7"
"3162","SPC25"
"3163","SPECC1"
"3164","SPEG"
"3165","SPHK1"
"3166","SPINK4"
"3167","SPNS3"
"3168","SPOCK1"
"3169","SPOCK3"
"3170","SPSB2"
"3171","SPTBN2"
"3172","SPTSSB"
"3173","SRD5A1"
"3174","SRP72"
"3175","SRP9"
"3176","SRRM2"
"3177","SRSF3"
"3178","SRSF6"
"3179","ST14"
"3180","ST3GAL4"
"3181","ST8SIA6"
"3182","STAP2"
"3183","STARD3NL"
"3184","STARD9"
"3185","STBD1"
"3186","STEAP1"
"3187","STEAP2"
"3188","STEAP2-AS1"
"3189","STIM2"
"3190","STK3"
"3191","STRC"
"3192","STYK1"
"3193","STYXL1"
"3194","SUCLG2-AS1"
"3195","SUCNR1"
"3196","SUMO3"
"3197","SUN2"
"3198","SUPT20H"
"3199","SVIL"
"3200","SYCE3"
"3201","SYN1"
"3202","SYN2"
"3203","SYNGR1"
"3204","SYNPO"
"3205","SYPL1"
"3206","SYT17"
"3207","SYT5"
"3208","SYTL2"
"3209","TACC1"
"3210","TACC3"
"3211","TACR2"
"3212","TAF4B"
"3213","TAOK3"
"3214","TAPT1"
"3215","TARS"
"3216","TAS2R13"
"3217","TBC1D16"
"3218","TBC1D22B"
"3219","TBC1D30"
"3220","TBC1D5"
"3221","TBCC"
"3222","TCEA2"
"3223","TCF12"
"3224","TCTEX1D1"
"3225","TDRD6"
"3226","TDRP"
"3227","TESK2"
"3228","TESMIN"
"3229","TESPA1"
"3230","TEX14"
"3231","TFAP2E"
"3232","TFB1M"
"3233","TGFBI"
"3234","TGM2"
"3235","THRB-AS1"
"3236","THUMPD2"
"3237","TIAM1"
"3238","TICAM2"
"3239","TIE1"
"3240","TIGIT"
"3241","TIMM13"
"3242","TK2"
"3243","TLE4"
"3244","TLL2"
"3245","TLR1"
"3246","TLR5"
"3247","TM4SF19"
"3248","TMBIM1"
"3249","TMC4"
"3250","TMC5"
"3251","TMED2"
"3252","TMED8"
"3253","TMEFF1"
"3254","TMEM107"
"3255","TMEM120A"
"3256","TMEM147"
"3257","TMEM150C"
"3258","TMEM154"
"3259","TMEM156"
"3260","TMEM159"
"3261","TMEM178A"
"3262","TMEM19"
"3263","TMEM196"
"3264","TMEM205"
"3265","TMEM219"
"3266","TMEM241"
"3267","TMEM243"
"3268","TMEM244"
"3269","TMEM255A"
"3270","TMEM38A"
"3271","TMEM45A"
"3272","TMEM71"
"3273","TMEM72"
"3274","TMEM88"
"3275","TMEM9B"
"3276","TMPRSS11A"
"3277","TNC"
"3278","TNFRSF12A"
"3279","TNFRSF18"
"3280","TNFRSF25"
"3281","TNFRSF8"
"3282","TNFSF13B"
"3283","TNIP3"
"3284","TNNC2"
"3285","TNNT1"
"3286","TNRC6A"
"3287","TNRC6B"
"3288","TNS2"
"3289","TOM1L1"
"3290","TOMM6"
"3291","TONSL"
"3292","TOP1"
"3293","TOP2A"
"3294","TOP3A"
"3295","TOPORS"
"3296","TOR2A"
"3297","TP53BP1"
"3298","TP53TG5"
"3299","TPM1"
"3300","TPM3"
"3301","TPM4"
"3302","TPPP"
"3303","TPTE2"
"3304","TRAK2"
"3305","TREML1"
"3306","TREML4"
"3307","TRERF1"
"3308","TRIB2"
"3309","TRIM25"
"3310","TRIM28"
"3311","TRIM36"
"3312","TRIM54"
"3313","TRIM61"
"3314","TRIP6"
"3315","TRIQK"
"3316","TSLP"
"3317","TSPAN18"
"3318","TSPAN2"
"3319","TSPEAR"
"3320","TSPO"
"3321","TSPYL5"
"3322","TST"
"3323","TTC21B-AS1"
"3324","TTC28"
"3325","TTC9"
"3326","TTLL12"
"3327","TTLL5"
"3328","TTLL9"
"3329","TTYH3"
"3330","TUBA1A"
"3331","TUBA1B"
"3332","TUBA1C"
"3333","TUBB"
"3334","TUBB1"
"3335","TXN"
"3336","TXN2"
"3337","TXNIP"
"3338","UBASH3B"
"3339","UBB"
"3340","UBE2G1"
"3341","UBE2J1"
"3342","UBE2Q2"
"3343","UBXN6"
"3344","UBXN7"
"3345","UGGT2"
"3346","UGT2B11"
"3347","UGT3A2"
"3348","UGT8"
"3349","UHRF1BP1"
"3350","UMODL1"
"3351","UNC119B"
"3352","UNC5B"
"3353","UNC5CL"
"3354","UNC80"
"3355","USP13"
"3356","USP32"
"3357","USP48"
"3358","UTS2"
"3359","VANGL1"
"3360","VASH2"
"3361","VCL"
"3362","VCP"
"3363","VDR"
"3364","VEZT"
"3365","VGLL3"
"3366","VIP"
"3367","VKORC1"
"3368","VKORC1L1"
"3369","VLDLR"
"3370","VPS53"
"3371","VSTM1"
"3372","VWA2"
"3373","VWCE"
"3374","WASF3"
"3375","WASIR2"
"3376","WDFY2"
"3377","WDR17"
"3378","WDR34"
"3379","WDR35"
"3380","WDR49"
"3381","WDR77"
"3382","WDR90"
"3383","WDSUB1"
"3384","WFDC3"
"3385","WFS1"
"3386","WHAMM"
"3387","WIF1"
"3388","WIPF3"
"3389","WNT16"
"3390","WT1"
"3391","WWP1"
"3392","XBP1"
"3393","XIST"
"3394","XKR3"
"3395","XKR5"
"3396","XPO7"
"3397","XRCC5"
"3398","XXYLT1"
"3399","XYLT1"
"3400","YBX1"
"3401","YES1"
"3402","YPEL1"
"3403","YPEL4"
"3404","YTHDF2"
"3405","YWHAG"
"3406","YY1"
"3407","ZACN"
"3408","ZAP70"
"3409","ZBTB20"
"3410","ZBTB46"
"3411","ZBTB7A"
"3412","ZC3H6"
"3413","ZC3HAV1"
"3414","ZCRB1"
"3415","ZDHHC2"
"3416","ZFAND1"
"3417","ZFAND6"
"3418","ZFP36"
"3419","ZFP69B"
"3420","ZFPM1"
"3421","ZFR2"
"3422","ZHX1"
"3423","ZHX2"
"3424","ZKSCAN1"
"3425","ZMYM2"
"3426","ZNF107"
"3427","ZNF114"
"3428","ZNF124"
"3429","ZNF135"
"3430","ZNF14"
"3431","ZNF141"
"3432","ZNF185"
"3433","ZNF197"
"3434","ZNF211"
"3435","ZNF214"
"3436","ZNF219"
"3437","ZNF273"
"3438","ZNF283"
"3439","ZNF292"
"3440","ZNF296"
"3441","ZNF326"
"3442","ZNF334"
"3443","ZNF423"
"3444","ZNF43"
"3445","ZNF433"
"3446","ZNF474"
"3447","ZNF48"
"3448","ZNF503"
"3449","ZNF503-AS1"
"3450","ZNF506"
"3451","ZNF541"
"3452","ZNF544"
"3453","ZNF556"
"3454","ZNF575"
"3455","ZNF638"
"3456","ZNF667"
"3457","ZNF669"
"3458","ZNF697"
"3459","ZNF70"
"3460","ZNF703"
"3461","ZNF710"
"3462","ZNF711"
"3463","ZNF718"
"3464","ZNF730"
"3465","ZNF768"
"3466","ZNF79"
"3467","ZRANB1"
"3468","ZSCAN18"
"3469","ZSCAN20"
"3470","ZSCAN32"
"3471","ZSWIM5"
"3472","ZYG11A"
